Catégorie;Français;Shimaoré;Audio Shimaoré;Kibouchi;Audio Kibouchi;Corrections / Notes
adjectifs;Amoureux;ouvendza;NON;mitiya;NON;
adjectifs;Ancien;halé;NON;kèyi;NON;
adjectifs;Beau/jolie;mzouri;NON;zatovou;NON;
adjectifs;Bon;mwéma;NON;tsara;NON;
adjectifs;Bête;dhaba;NON;dhaba;NON;
adjectifs;Calme;baridi;NON;malémi;NON;
adjectifs;Chaud;moro;NON;méyi;NON;
adjectifs;Colère;hadabou;NON;méloukou;NON;
adjectifs;Content;oujiviwa;NON;ravou;NON;
adjectifs;Court;coutri;NON;fohiki;NON;
adjectifs;Difficile;ndziro;NON;mahéri;NON;
adjectifs;Drôle;outsésa;NON;mampimohi;NON;
adjectifs;Dur;mangavou;NON;mahéri;NON;
adjectifs;Facile;ndzangou;NON;mora;NON;
adjectifs;Fatigué;ouléméwa;NON;vaha;NON;
adjectifs;Faux;trambo;NON;vandi;NON;
adjectifs;Fermé;oubala;NON;migadra;NON;
adjectifs;Fier;oujiviwa;NON;ravou;NON;
adjectifs;Fort;ouna ngouvou;NON;missi ngouvou;NON;
adjectifs;Froid;baridi;NON;manintsi;NON;
adjectifs;Fâché;ouja hassira;NON;méloukou;NON;
adjectifs;Gentil;mwéma;NON;tsara rohou;NON;
adjectifs;Grand;bolé;NON;bé;NON;
adjectifs;Gros;mtronga/tronga;NON;bé;NON;
adjectifs;Honteux;ouona haya;NON;mampiflingnatia;NON;
adjectifs;Important;mouhimou;NON;mouhimou;NON;
adjectifs;Inquiet;ouna hamo;NON;miyéfitri/kouchanga;NON;
adjectifs;Intelligent;mstanrabou;NON;tsara louha;NON;
adjectifs;Inutile;kassina mana;NON;tsissi fotouri;NON;
adjectifs;Jeune;nrétsa;NON;zaza;NON;
adjectifs;Laid;tsi ndzouzouri;NON;ratsi sora;NON;
adjectifs;Long;drilé;NON;habou;NON;
adjectifs;Lourd;ndziro;NON;mavéchatra;NON;
adjectifs;Léger;ndzangou;NON;mivivagna;NON;
adjectifs;Maigre;tsala;NON;mahia;NON;
adjectifs;Mauvais;mbovou;NON;mwadéli;NON;
adjectifs;Mou;trémboivou;NON;malémi;NON;
adjectifs;Méchant;mbovou;NON;ratsi rohou;NON;
adjectifs;Nerveux;oussikitiha;NON;téhi téhitri;NON;
adjectifs;Nouveau;piya;NON;vowou;NON;
adjectifs;Ouvert;ouboua;NON;mibiyangna;NON;
adjectifs;Pauvre;maskini;NON;maskini;NON;
adjectifs;Petit;titi;NON;héli;NON;
adjectifs;Propre;irahara;NON;madiou;NON;
adjectifs;Riche;tadjiri;NON;tadjiri;NON;
adjectifs;Sale;trotro;NON;maloutou;NON;
adjectifs;Satisfait;oufourahi;NON;ravou;NON;
adjectifs;Surpris;oumarouha;NON;téhitri;NON;
adjectifs;Sérieux;kassidi;NON;koussoudi;NON;
adjectifs;Triste;ouna hamo;NON;malahélou;NON;
adjectifs;Vieux;dhouha;NON;héla;NON;
adjectifs;Vrai;kwéli;NON;ankitigni;NON;
animaux;Abeille;niochi;animaux/Niochi.m4a;antéli;animaux/Niochi.m4a;
animaux;Araignée;shitrandrabwibwi;animaux/Ndra.m4a;bibi ampamani massou;animaux/Ndra.m4a;
animaux;Baleine;ndroujou;animaux/Ndroujou.m4a;;animaux/Ndroujou.m4a;
animaux;Bigorneau;trondro;animaux/Trondro.m4a;trondrou;animaux/Trondro.m4a;
animaux;Bigorno;trondro;animaux/Trondro.m4a;trondrou;animaux/Trondro.m4a;
animaux;Bouc;béwé;animaux/Béwé.m4a;bébérou;animaux/Béwé.m4a;
animaux;Bourdon;vungo vungo;animaux/Vungo vungo.m4a;madjaoumbi;animaux/Vungo vungo.m4a;
animaux;Cafard;kalalawi;animaux/Kalalawi.m4a;kalalowou;animaux/Kalalawi.m4a;
